cohorte,dimension,nivel,en_riesgo
2008,sector,51,1021
2008,sector,52,995
2008,sector,53,1459
2008,sector,54,6910
2008,sector,55,13
2008,sector,56,3095
2008,sector,61,844
2008,sector,62,4668
2008,sector,71,1535
2008,sector,72,7591
2008,sector,81,6276
2008,sector,92,16
2009,sector,11,600
2009,sector,21,95
2009,sector,22,30
2009,sector,23,3679
2009,sector,31-33,3181
2009,sector,42,1873
2009,sector,44-45,5810
2009,sector,48-49,1322
2009,sector,51,579
2009,sector,52,600
2009,sector,53,733
2009,sector,54,4147
2009,sector,55,8
2009,sector,56,1656
2009,sector,61,499
2009,sector,62,3620
2009,sector,71,721
2009,sector,72,4203
2009,sector,81,3272
2009,sector,92,7
2009,sector,unknown,1
2010,sector,11,760
2010,sector,21,109
2010,sector,22,45
2010,sector,23,3875
2010,sector,31-33,3530
2010,sector,42,2262
2010,sector,44-45,6118
2010,sector,48-49,1394
2010,sector,51,556
2010,sector,52,647
2010,sector,53,803
2010,sector,54,4472
2010,sector,55,8
2010,sector,56,1829
2010,sector,61,572
2010,sector,62,4426
2010,sector,71,695
2010,sector,72,4383
2010,sector,81,3422
2010,sector,92,6
2010,sector,unknown,1
2011,sector,11,976
2011,sector,21,133
2011,sector,22,30
2011,sector,23,4233
2011,sector,31-33,4388
2011,sector,42,2807
2011,sector,44-45,6803
2011,sector,48-49,1660
2011,sector,51,650
2011,sector,52,594
2011,sector,53,973
2011,sector,54,4881
2011,sector,55,27
2011,sector,56,1949
2011,sector,61,573
2011,sector,62,4804
2011,sector,71,1001
2011,sector,72,5506
2011,sector,81,3635
2011,sector,92,5
2012,sector,11,607
2012,sector,21,167
2012,sector,22,33
2012,sector,23,3836
2012,sector,31-33,3440
2012,sector,42,2404
2012,sector,44-45,5758
2012,sector,48-49,1520
2012,sector,51,502
2012,sector,52,528
2012,sector,53,781
2012,sector,54,4101
2012,sector,55,15
2012,sector,56,1628
2012,sector,61,438
2012,sector,62,3996
2012,sector,71,959
2012,sector,72,4798
2012,sector,81,3370
2012,sector,92,7
2012,sector,unknown,1
2013,sector,11,670
2013,sector,21,122
2013,sector,22,30
2013,sector,23,3887
2013,sector,31-33,3500
2013,sector,42,2502
2013,sector,44-45,5773
2013,sector,48-49,1780
2013,sector,51,511
2013,sector,52,577
2013,sector,53,821
2013,sector,54,4031
2013,sector,55,18
2013,sector,56,1681
2013,sector,61,527
2013,sector,62,3824
2013,sector,71,1076
2013,sector,72,5463
2013,sector,81,3613
2013,sector,92,10
2014,sector,11,742
2014,sector,21,174
2014,sector,22,46
2014,sector,23,4728
2014,sector,31-33,3767
2014,sector,42,2545
2014,sector,44-45,6282
2014,sector,48-49,2610
2014,sector,51,541
2014,sector,52,749
2014,sector,53,968
2014,sector,54,4463
2014,sector,55,25
2014,sector,56,2060
2014,sector,61,594
2014,sector,62,4245
2014,sector,71,1252
2014,sector,72,6078
2014,sector,81,4084
2014,sector,92,9
2015,sector,11,1002
2015,sector,21,142
2015,sector,22,30
2015,sector,23,5863
2015,sector,31-33,4222
2015,sector,42,2914
2015,sector,44-45,7561
2015,sector,48-49,3388
2015,sector,51,698
2015,sector,52,913
2015,sector,53,1259
2015,sector,54,5475
2015,sector,55,28
2015,sector,56,2568
2015,sector,61,718
2015,sector,62,4973
2015,sector,71,1597
2015,sector,72,6995
2015,sector,81,5061
2015,sector,92,14
2016,sector,11,1034
2016,sector,21,126
2016,sector,22,49
2016,sector,23,6031
2016,sector,31-33,4231
2016,sector,42,2627
2016,sector,44-45,7510
2016,sector,48-49,3173
2016,sector,51,621
2016,sector,52,1125
2016,sector,53,1284
2016,sector,54,5728
2016,sector,55,51
2016,sector,56,2766
2016,sector,61,822
2016,sector,62,5200
2016,sector,71,1798
2016,sector,72,7466
2016,sector,81,5141
2016,sector,92,6
2017,sector,11,814
2017,sector,21,152
2017,sector,22,48
2017,sector,23,6183
2017,sector,31-33,4048
2017,sector,42,2615
2017,sector,44-45,7342
2017,sector,48-49,3149
2017,sector,51,590
2017,sector,52,1105
2017,sector,53,1302
2017,sector,54,5253
2017,sector,55,62
2017,sector,56,2773
2017,sector,61,787
2017,sector,62,4917
2017,sector,71,1950
2017,sector,72,7770
2017,sector,81,5209
2017,sector,92,10
2018,sector,11,740
2018,sector,21,133
2018,sector,22,57
2018,sector,23,6313
2018,sector,31-33,3708
2018,sector,42,2519
2018,sector,44-45,6699
2018,sector,48-49,3681
2018,sector,51,569
2018,sector,52,1063
2018,sector,53,1252
2018,sector,54,4878
2018,sector,55,51
2018,sector,56,2621
2018,sector,61,856
2018,sector,62,4467
2018,sector,71,1883
2018,sector,72,7707
2018,sector,81,4987
2018,sector,92,11
2019,sector,11,470
2019,sector,21,115
2019,sector,22,34
2019,sector,23,5225
2019,sector,31-33,3127
2019,sector,42,2017
2019,sector,44-45,5814
2019,sector,48-49,2932
2019,sector,51,417
2019,sector,52,860
2019,sector,53,1003
2019,sector,54,4041
2019,sector,55,27
2019,sector,56,2284
2019,sector,61,797
2019,sector,62,3855
2019,sector,71,1834
2019,sector,72,6485
2019,sector,81,4331
2019,sector,92,3
2020,sector,11,447
2020,sector,21,69
2020,sector,22,58
2020,sector,23,4380
2020,sector,31-33,2585
2020,sector,42,1590
2020,sector,44-45,4758
2020,sector,48-49,2465
2020,sector,51,374
2020,sector,52,889
2020,sector,53,944
2020,sector,54,3192
2020,sector,55,17
2020,sector,56,2021
2020,sector,61,477
2020,sector,62,3169
2020,sector,71,1125
2020,sector,72,4639
2020,sector,81,3258
2020,sector,92,7
2021,sector,11,717
2021,sector,21,106
2021,sector,22,80
2021,sector,23,4637
2021,sector,31-33,3312
2021,sector,42,2042
2021,sector,44-45,6609
2021,sector,48-49,2863
2021,sector,51,403
2021,sector,52,1058
2021,sector,53,1369
2021,sector,54,3769
2021,sector,55,46
2021,sector,56,2421
2021,sector,61,565
2021,sector,62,4531
2021,sector,71,1171
2021,sector,72,5560
2021,sector,81,3896
2021,sector,92,10
2022,sector,11,523
2022,sector,21,99
2022,sector,22,65
2022,sector,23,5036
2022,sector,31-33,2724
2022,sector,42,1797
2022,sector,44-45,5213
